INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,month,OPR_DT,OPR_HR,OPR_INTERVAL,OPR_TYPE,ANC_TYPE,ANC_REGION,MARKET_RUN_ID,RD_CLR_PRC,RU_CLR_PRC,SP_CLR_PRC,Reg_comb,notes
2018-12-30T07:00:00-00:00,2018-12-30T08:00:00-00:00,12,29/12/2018,24,0,Hourly,RD,AS_CAISO_EXP,DAM,3,3,1.56911,6,
2018-12-30T08:00:00-00:00,2018-12-30T09:00:00-00:00,12,30/12/2018,1,0,Hourly,RD,AS_CAISO_EXP,DAM,5.04,5.73,1,10.77,
2018-12-30T09:00:00-00:00,2018-12-30T10:00:00-00:00,12,30/12/2018,2,0,Hourly,RD,AS_CAISO_EXP,DAM,5.04,5.54,1,10.58,
2018-12-30T10:00:00-00:00,2018-12-30T11:00:00-00:00,12,30/12/2018,3,0,Hourly,RD,AS_CAISO_EXP,DAM,5,4.5026,1,9.5026,
2018-12-30T11:00:00-00:00,2018-12-30T12:00:00-00:00,12,30/12/2018,4,0,Hourly,RD,AS_CAISO_EXP,DAM,5,3.50436,1,8.50436,
2018-12-30T12:00:00-00:00,2018-12-30T13:00:00-00:00,12,30/12/2018,5,0,Hourly,RD,AS_CAISO_EXP,DAM,5.04,3.92,1,8.96,
2018-12-30T13:00:00-00:00,2018-12-30T14:00:00-00:00,12,30/12/2018,6,0,Hourly,RD,AS_CAISO_EXP,DAM,5,6.99,2.25,11.99,
2018-12-30T14:00:00-00:00,2018-12-30T15:00:00-00:00,12,30/12/2018,7,0,Hourly,RD,AS_CAISO_EXP,DAM,10.84,6.78,2.25,17.62,
2018-12-30T15:00:00-00:00,2018-12-30T16:00:00-00:00,12,30/12/2018,8,0,Hourly,RD,AS_CAISO_EXP,DAM,10.84,6.03,1.5,16.87,
2018-12-30T16:00:00-00:00,2018-12-30T17:00:00-00:00,12,30/12/2018,9,0,Hourly,RD,AS_CAISO_EXP,DAM,19.41085,4.78,0.25,24.19085,
2018-12-30T17:00:00-00:00,2018-12-30T18:00:00-00:00,12,30/12/2018,10,0,Hourly,RD,AS_CAISO_EXP,DAM,23.13026,4.78,0.25,27.91026,
2018-12-30T18:00:00-00:00,2018-12-30T19:00:00-00:00,12,30/12/2018,11,0,Hourly,RD,AS_CAISO_EXP,DAM,29.31494,4.78,0.25,34.09494,
2018-12-30T19:00:00-00:00,2018-12-30T20:00:00-00:00,12,30/12/2018,12,0,Hourly,RD,AS_CAISO_EXP,DAM,36.94187,4.78,0.25,41.72187,
2018-12-30T20:00:00-00:00,2018-12-30T21:00:00-00:00,12,30/12/2018,13,0,Hourly,RD,AS_CAISO_EXP,DAM,34.89497,3,0.25,37.89497,
2018-12-30T21:00:00-00:00,2018-12-30T22:00:00-00:00,12,30/12/2018,14,0,Hourly,RD,AS_CAISO_EXP,DAM,40,4.78,0.25,44.78,
2018-12-30T22:00:00-00:00,2018-12-30T23:00:00-00:00,12,30/12/2018,15,0,Hourly,RD,AS_CAISO_EXP,DAM,32.76174,4.78,0.25,37.54174,
2018-12-30T23:00:00-00:00,2018-12-31T00:00:00-00:00,12,30/12/2018,16,0,Hourly,RD,AS_CAISO_EXP,DAM,14,6.86145,1,20.86145,
2018-12-31T00:00:00-00:00,2018-12-31T01:00:00-00:00,12,30/12/2018,17,0,Hourly,RD,AS_CAISO_EXP,DAM,14.50172,11.40965,6.87965,25.91137,
2018-12-31T01:00:00-00:00,2018-12-31T02:00:00-00:00,12,30/12/2018,18,0,Hourly,RD,AS_CAISO_EXP,DAM,10.99,10.7,8,21.69,
2018-12-31T02:00:00-00:00,2018-12-31T03:00:00-00:00,12,30/12/2018,19,0,Hourly,RD,AS_CAISO_EXP,DAM,6.98142,10.93,6.4,17.91142,
2018-12-31T03:00:00-00:00,2018-12-31T04:00:00-00:00,12,30/12/2018,20,0,Hourly,RD,AS_CAISO_EXP,DAM,5.43,12.53,8,17.96,
2018-12-31T04:00:00-00:00,2018-12-31T05:00:00-00:00,12,30/12/2018,21,0,Hourly,RD,AS_CAISO_EXP,DAM,5.43,8.74,4.21,14.17,
2018-12-31T05:00:00-00:00,2018-12-31T06:00:00-00:00,12,30/12/2018,22,0,Hourly,RD,AS_CAISO_EXP,DAM,8.49105,8.81,4.28,17.30105,
2018-12-31T06:00:00-00:00,2018-12-31T07:00:00-00:00,12,30/12/2018,23,0,Hourly,RD,AS_CAISO_EXP,DAM,5,8.95,4.21,13.95,
2018-12-31T07:00:00-00:00,2018-12-31T08:00:00-00:00,12,30/12/2018,24,0,Hourly,RD,AS_CAISO_EXP,DAM,5.01,5.99,1.25,11,
2018-12-31T08:00:00-00:00,2018-12-31T09:00:00-00:00,12,31/12/2018,1,0,Hourly,RD,AS_CAISO_EXP,DAM,5.01,5.75,1,10.76,
2018-12-31T09:00:00-00:00,2018-12-31T10:00:00-00:00,12,31/12/2018,2,0,Hourly,RD,AS_CAISO_EXP,DAM,5,3.2387,0.25,8.2387,
2018-12-31T10:00:00-00:00,2018-12-31T11:00:00-00:00,12,31/12/2018,3,0,Hourly,RD,AS_CAISO_EXP,DAM,5,3,0.25,8,
2018-12-31T11:00:00-00:00,2018-12-31T12:00:00-00:00,12,31/12/2018,4,0,Hourly,RD,AS_CAISO_EXP,DAM,5,3.00531,1,8.00531,
2018-12-31T12:00:00-00:00,2018-12-31T13:00:00-00:00,12,31/12/2018,5,0,Hourly,RD,AS_CAISO_EXP,DAM,5.04,3.9,1,8.94,
2018-12-31T13:00:00-00:00,2018-12-31T14:00:00-00:00,12,31/12/2018,6,0,Hourly,RD,AS_CAISO_EXP,DAM,5,7,2.25,12,
2018-12-31T14:00:00-00:00,2018-12-31T15:00:00-00:00,12,31/12/2018,7,0,Hourly,RD,AS_CAISO_EXP,DAM,10.84,7.84014,3.26014,18.68014,
2018-12-31T15:00:00-00:00,2018-12-31T16:00:00-00:00,12,31/12/2018,8,0,Hourly,RD,AS_CAISO_EXP,DAM,10.74063,7.55,2.97,18.29063,
2018-12-31T16:00:00-00:00,2018-12-31T17:00:00-00:00,12,31/12/2018,9,0,Hourly,RD,AS_CAISO_EXP,DAM,5,5.83,1.25,10.83,
2018-12-31T17:00:00-00:00,2018-12-31T18:00:00-00:00,12,31/12/2018,10,0,Hourly,RD,AS_CAISO_EXP,DAM,13.79191,5.58,1,19.37191,
2018-12-31T18:00:00-00:00,2018-12-31T19:00:00-00:00,12,31/12/2018,11,0,Hourly,RD,AS_CAISO_EXP,DAM,9.57547,4.83,0.25,14.40547,
