INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP,
2018-12-30T07:00:00-00:00,2018-12-30T08:00:00-00:00,29/12/2018,24,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,43.63928,5,
2018-12-30T08:00:00-00:00,2018-12-30T09:00:00-00:00,30/12/2018,1,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,41.11294,9,
2018-12-30T09:00:00-00:00,2018-12-30T10:00:00-00:00,30/12/2018,2,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,39.87955,9,
2018-12-30T10:00:00-00:00,2018-12-30T11:00:00-00:00,30/12/2018,3,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,38.29,9,
2018-12-30T11:00:00-00:00,2018-12-30T12:00:00-00:00,30/12/2018,4,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,37.22769,9,
2018-12-30T12:00:00-00:00,2018-12-30T13:00:00-00:00,30/12/2018,5,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,37.19052,9,
2018-12-30T13:00:00-00:00,2018-12-30T14:00:00-00:00,30/12/2018,6,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,41.19805,9,
2018-12-30T14:00:00-00:00,2018-12-30T15:00:00-00:00,30/12/2018,7,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,44.31618,9,
2018-12-30T15:00:00-00:00,2018-12-30T16:00:00-00:00,30/12/2018,8,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,40.99466,9,
2018-12-30T16:00:00-00:00,2018-12-30T17:00:00-00:00,30/12/2018,9,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,35.27952,9,
2018-12-30T17:00:00-00:00,2018-12-30T18:00:00-00:00,30/12/2018,10,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,26.51229,9,
2018-12-30T18:00:00-00:00,2018-12-30T19:00:00-00:00,30/12/2018,11,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,19.84621,9,
2018-12-30T19:00:00-00:00,2018-12-30T20:00:00-00:00,30/12/2018,12,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,12.11423,9,
2018-12-30T20:00:00-00:00,2018-12-30T21:00:00-00:00,30/12/2018,13,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,10.18203,9,
2018-12-30T21:00:00-00:00,2018-12-30T22:00:00-00:00,30/12/2018,14,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,11.16418,9,
2018-12-30T22:00:00-00:00,2018-12-30T23:00:00-00:00,30/12/2018,15,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,16.64239,9,
2018-12-30T23:00:00-00:00,2018-12-31T00:00:00-00:00,30/12/2018,16,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,32.80955,9,
2018-12-31T00:00:00-00:00,2018-12-31T01:00:00-00:00,30/12/2018,17,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,41.24376,9,
2018-12-31T01:00:00-00:00,2018-12-31T02:00:00-00:00,30/12/2018,18,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,51.41956,9,
2018-12-31T02:00:00-00:00,2018-12-31T03:00:00-00:00,30/12/2018,19,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,50.75838,9,
2018-12-31T03:00:00-00:00,2018-12-31T04:00:00-00:00,30/12/2018,20,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,49.14736,9,
2018-12-31T04:00:00-00:00,2018-12-31T05:00:00-00:00,30/12/2018,21,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,47.12291,9,
2018-12-31T05:00:00-00:00,2018-12-31T06:00:00-00:00,30/12/2018,22,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,46.1943,9,
2018-12-31T06:00:00-00:00,2018-12-31T07:00:00-00:00,30/12/2018,23,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,43.75679,9,
2018-12-31T07:00:00-00:00,2018-12-31T08:00:00-00:00,30/12/2018,24,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,39.08134,9,
2018-12-31T08:00:00-00:00,2018-12-31T09:00:00-00:00,31/12/2018,1,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,41.3425,13,
2018-12-31T09:00:00-00:00,2018-12-31T10:00:00-00:00,31/12/2018,2,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,37.12948,13,
2018-12-31T10:00:00-00:00,2018-12-31T11:00:00-00:00,31/12/2018,3,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,35.9216,13,
2018-12-31T11:00:00-00:00,2018-12-31T12:00:00-00:00,31/12/2018,4,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,35.79139,13,
2018-12-31T12:00:00-00:00,2018-12-31T13:00:00-00:00,31/12/2018,5,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,36.6588,13,
2018-12-31T13:00:00-00:00,2018-12-31T14:00:00-00:00,31/12/2018,6,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,42.6695,13,
2018-12-31T14:00:00-00:00,2018-12-31T15:00:00-00:00,31/12/2018,7,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,46.81484,13,
2018-12-31T15:00:00-00:00,2018-12-31T16:00:00-00:00,31/12/2018,8,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,46.9586,13,
2018-12-31T16:00:00-00:00,2018-12-31T17:00:00-00:00,31/12/2018,9,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,41.85064,13,
2018-12-31T17:00:00-00:00,2018-12-31T18:00:00-00:00,31/12/2018,10,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,36.70158,13,
2018-12-31T18:00:00-00:00,2018-12-31T19:00:00-00:00,31/12/2018,11,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,35.88847,13,
2018-12-31T19:00:00-00:00,2018-12-31T20:00:00-00:00,31/12/2018,12,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,32.99645,13,
2018-12-31T20:00:00-00:00,2018-12-31T21:00:00-00:00,31/12/2018,13,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,30.94845,13,
2018-12-31T21:00:00-00:00,2018-12-31T22:00:00-00:00,31/12/2018,14,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,31.90551,13,
2018-12-31T22:00:00-00:00,2018-12-31T23:00:00-00:00,31/12/2018,15,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,31.57407,13,
2018-12-31T23:00:00-00:00,2019-01-01T00:00:00-00:00,31/12/2018,16,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,40.74485,13,
2019-01-01T00:00:00-00:00,2019-01-01T01:00:00-00:00,31/12/2018,17,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,47.62749,13,
2019-01-01T01:00:00-00:00,2019-01-01T02:00:00-00:00,31/12/2018,18,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,63.06309,13,
2019-01-01T02:00:00-00:00,2019-01-01T03:00:00-00:00,31/12/2018,19,0,HARBORG_7_N101,HARBORG_7_N101,HARBORG_7_N101,DAM,LMP,LMP_PRC,HARBORG_7_N101,ALL,1,62.81638,13,
