mm,wk_wknd,hh,k,u
1,wk,0,1,1
1,wk,1,1,1
1,wk,2,1,1
1,wk,3,1,1
1,wk,4,1,1
1,wk,5,1,1
1,wk,6,1,1
1,wk,7,1,1
1,wk,8,1,2
1,wk,9,1,2
1,wk,10,1,2
1,wk,11,1,2
1,wk,12,1,2
1,wk,13,1,2
1,wk,14,1,2
1,wk,15,1,2
1,wk,16,1,2
1,wk,17,1,2
1,wk,18,1,2
1,wk,19,1,2
1,wk,20,1,2
1,wk,21,1,1
1,wk,22,1,1
1,wk,23,1,1
1,wknd,0,1,1
1,wknd,1,1,1
1,wknd,2,1,1
1,wknd,3,1,1
1,wknd,4,1,1
1,wknd,5,1,1
1,wknd,6,1,1
1,wknd,7,1,1
1,wknd,8,1,1
1,wknd,9,1,1
1,wknd,10,1,1
1,wknd,11,1,1
1,wknd,12,1,1
1,wknd,13,1,1
1,wknd,14,1,1
1,wknd,15,1,1
1,wknd,16,1,1
1,wknd,17,1,1
1,wknd,18,1,1
1,wknd,19,1,1
1,wknd,20,1,1
1,wknd,21,1,1
1,wknd,22,1,1
1,wknd,23,1,1
2,wk,0,1,1
2,wk,1,1,1
2,wk,2,1,1
2,wk,3,1,1
2,wk,4,1,1
2,wk,5,1,1
2,wk,6,1,1
2,wk,7,1,1
2,wk,8,1,2
2,wk,9,1,2
2,wk,10,1,2
2,wk,11,1,2
2,wk,12,1,2
2,wk,13,1,2
2,wk,14,1,2
2,wk,15,1,2
2,wk,16,1,2
2,wk,17,1,2
2,wk,18,1,2
2,wk,19,1,2
2,wk,20,1,2
2,wk,21,1,1
2,wk,22,1,1
2,wk,23,1,1
2,wknd,0,1,1
2,wknd,1,1,1
2,wknd,2,1,1
2,wknd,3,1,1
2,wknd,4,1,1
2,wknd,5,1,1
2,wknd,6,1,1
2,wknd,7,1,1
2,wknd,8,1,1
2,wknd,9,1,1
2,wknd,10,1,1
2,wknd,11,1,1
2,wknd,12,1,1
2,wknd,13,1,1
2,wknd,14,1,1
2,wknd,15,1,1
2,wknd,16,1,1
2,wknd,17,1,1
2,wknd,18,1,1
2,wknd,19,1,1
2,wknd,20,1,1
2,wknd,21,1,1
2,wknd,22,1,1
2,wknd,23,1,1
3,wk,0,1,1
3,wk,1,1,1
3,wk,2,1,1
3,wk,3,1,1
3,wk,4,1,1
3,wk,5,1,1
3,wk,6,1,1
3,wk,7,1,1
3,wk,8,1,2
3,wk,9,1,2
3,wk,10,1,2
3,wk,11,1,2
3,wk,12,1,2
3,wk,13,1,2
3,wk,14,1,2
3,wk,15,1,2
3,wk,16,1,2
3,wk,17,1,2
3,wk,18,1,2
3,wk,19,1,2
3,wk,20,1,2
3,wk,21,1,1
3,wk,22,1,1
3,wk,23,1,1
3,wknd,0,1,1
3,wknd,1,1,1
3,wknd,2,1,1
3,wknd,3,1,1
3,wknd,4,1,1
3,wknd,5,1,1
3,wknd,6,1,1
3,wknd,7,1,1
3,wknd,8,1,1
3,wknd,9,1,1
3,wknd,10,1,1
3,wknd,11,1,1
3,wknd,12,1,1
